Pipe ID,Pipe Name,Pipe Ownership,Row Number,Item,2010Q4,2011Q4,2012Q4,2013Q4,2014Q4,2015Q4,2016Q4,2017Q4,2018Q4,2019Q4,2020Q4,2021Q4,2022Q4,2023Q4,2024Q4
15,"Plains Pipeline, LP",PAA (100.000%),10,Operating and Maintenance Expenses,212812278,217890428,224076598,218677061,305534253,333226831,253004724,229340534,230871599,223462864,174092761,159940530,144691048,142062765,164285289
15,"Plains Pipeline, LP",PAA (100.000%),20,Depreciation Expense,35711770,37021607,39067368,44374590,52290586,65088984,40422233,44341241,52430523,50091661,55731596,48999838,19425835,14659847,21268624
15,"Plains Pipeline, LP",PAA (100.000%),30,AFUDC Depreciation,2777894,3223524,3069876,3227602,5650129,6470686,3824265,4108196,4518092,4409101,4688184,3881778,1029081,788844,1124871
15,"Plains Pipeline, LP",PAA (100.000%),40,Amortization of Deferred Earnings,8014985,9527960,9269970,9520991,8647867,8602457,8144812,9319577,9439990,9091340,9523786,7900261,1954945,2111905,2375951
15,"Plains Pipeline, LP",PAA (100.000%),50,Rate Base,707007201,735329634,771382615,0,0,0,0,0,0,0,0,,,,
15,"Plains Pipeline, LP",PAA (100.000%),51,Rate Base - Original Cost,,,,845536484,1214970805,1451340430,1689744972,2100040295,2517602130,2388902771,2614947888,2232077179,673633068,642005181,684225717
15,"Plains Pipeline, LP",PAA (100.000%),52,Rate Base - Unamortized Starting Rate Base Write-Up,,,,4882254,0,0,0,0,0,0,0,0,,,
15,"Plains Pipeline, LP",PAA (100.000%),53,Rate Base - Accumulated Net Deferred Earnings,,,,178078655,194030650,186708015,188169213,222599290,233753260,239963753,250973149,214358003,77089884,82164693,94323289
15,"Plains Pipeline, LP",PAA (100.000%),54,Total Rate Base -Trended Original Cost - (line 5a + line 5b + line 5c),,,,1028497393,1409001455,1638048445,1877914185,2322639585,2751355390,2628866524,2865921037,2446435182,750722952,724169874,778549006
15,"Plains Pipeline, LP",PAA (100.000%),60,Rate of Return % (10.25% - 10.25),10,10.44,10,0,0,0,0,0,0,0,0,,,,
15,"Plains Pipeline, LP",PAA (100.000%),61,Rate of Return - Adjusted Capital Structure Ratio for Long Term Debt,,,,38.06,44.57,50.19,48.1,41.22,39.57,37.3,44.77,36.11,31.72,30.78,31.21
15,"Plains Pipeline, LP",PAA (100.000%),62,Rate of Return - Adjusted Capital Structure Ratio for Stockholders’ Equity,,,,61.94,55.43,49.81,51.9,58.78,60.43,62.7,55.23,63.89,68.28,69.22,68.79
15,"Plains Pipeline, LP",PAA (100.000%),63,Rate of Return - Cost of Long Term Debt Capital,,,,5.2,4.91,4.89,4.79,4.52,4.52,4.45,4.36,4.43,4.57,4.64,4.77
15,"Plains Pipeline, LP",PAA (100.000%),64,Rate of Return - Real Cost of Stockholders’ Equity,,,,12.6,12.64,12.39,11.95,11.95,10.72,11.33,11.3,13.7,12.48,10.53,9.62
15,"Plains Pipeline, LP",PAA (100.000%),65,Rate of Return - Weighted Average Cost of Capital - (line 6a x line 6c + line 6b x line 6d),,,,9.78,9.19,8.63,8.51,8.89,8.27,8.76,8.19,10.35,9.97,8.72,8.11
